artist,song,popularity,uri,url
Brett Young,Like I Loved You,69,spotify:track:3T6MAweakkNrMYs8jZIWtg,https://open.spotify.com/track/3T6MAweakkNrMYs8jZIWtg
Brett Eldredge,The Long Way,31,spotify:track:1KTLLe980WR4RLKg74Ud6e,https://open.spotify.com/track/1KTLLe980WR4RLKg74Ud6e
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),75,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
Jackie Lee,Getting Over You,0,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,https://open.spotify.com/track/4oeGQb7zAVNRkpjjoNHK5K
Thomas Rhett,Marry Me,70,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://open.spotify.com/track/0OWZFobGSIW9GrSlQ9C5pc
Kane Brown,What Ifs (feat. Lauren Alaina),73,spotify:track:7zVCrzzEJU7u24sbJPXA5W,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W
Billy Currington,Do I Make You Wanna,66,spotify:track:3I7krC8kr0gFR7P6vInR1I,https://open.spotify.com/track/3I7krC8kr0gFR7P6vInR1I
Granger Smith,Happens Like That,0,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,https://open.spotify.com/track/5Zx1zVpDJsNgyY3HvNfsfC
Brett Kissel,We Were That Song,0,spotify:track:6OUdBkpAQtKyZ74cKukZ9W,https://open.spotify.com/track/6OUdBkpAQtKyZ74cKukZ9W
Jay Sean,Down,1,spotify:track:7LP4Es66zdY7CyjepqmvAg,https://open.spotify.com/track/7LP4Es66zdY7CyjepqmvAg
Outkast,Hey Ya!,83,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
Zara Larsson,Never Forget You,0,spotify:track:6WLS56xiRrXjSm9RSdL3zD,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,74,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
Miley Cyrus,Wrecking Ball,79,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE
Becky G,Shower,78,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ
Kygo,It Ain’t Me (with Selena Gomez),67,spotify:track:12GEpg2XOPyqk03JZEZnJs,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs
Jason Derulo,Trumpets,65,spotify:track:5KONnBIQ9LqCxyeSPin26k,https://open.spotify.com/track/5KONnBIQ9LqCxyeSPin26k
Diddy - Dirty Money,Coming Home,70,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,https://open.spotify.com/track/6Iocm6VMu6bVNYwiDoyQFW
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),76,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
Justin Bieber,Baby,82,spotify:track:6epn3r7S14KUqlReYr77hA,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA
Rihanna,Umbrella,84,spotify:track:49FYlytm3dAAraYgpoJZux,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux
